scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
with_repeater,186.0,120.0,900.0,66,5,5,8,8,21,21,1.000000,1.000000,62.553045,0.184195
blackout_only,186.0,120.0,900.0,67,5,5,8,8,21,21,1.000000,1.000000,62.560675,0.183168
with_repeater,186.0,120.0,900.0,67,5,5,8,8,21,21,1.000000,1.000000,62.543110,0.181694
blackout_only,186.0,120.0,900.0,68,5,5,8,8,21,21,1.000000,1.000000,62.613367,0.185434
with_repeater,186.0,120.0,900.0,68,5,5,8,8,21,21,1.000000,1.000000,62.535693,0.180850
blackout_only,186.0,120.0,900.0,69,5,5,8,8,21,21,1.000000,1.000000,62.612811,0.183444
with_repeater,186.0,120.0,900.0,69,5,5,8,8,21,21,1.000000,1.000000,62.592494,0.185144
blackout_only,186.0,120.0,900.0,70,5,5,8,8,21,21,1.000000,1.000000,62.627392,0.184291
with_repeater,186.0,120.0,900.0,70,5,5,8,8,21,21,1.000000,1.000000,62.596108,0.184597
blackout_only,186.0,120.0,900.0,71,5,5,8,8,21,21,1.000000,1.000000,62.580424,0.184068
with_repeater,186.0,120.0,900.0,71,5,5,8,8,21,21,1.000000,1.000000,62.589919,0.183557
blackout_only,186.0,120.0,900.0,72,5,5,8,8,21,21,1.000000,1.000000,62.514217,0.182065
with_repeater,186.0,120.0,900.0,72,5,5,8,8,21,21,1.000000,1.000000,62.582571,0.184909
blackout_only,186.0,120.0,900.0,73,5,5,8,8,21,21,1.000000,1.000000,62.559128,0.183295
with_repeater,186.0,120.0,900.0,73,5,5,8,8,21,21,1.000000,1.000000,62.555231,0.183437
blackout_only,186.0,120.0,900.0,74,5,5,8,8,21,21,1.000000,1.000000,62.557532,0.184209
with_repeater,186.0,120.0,900.0,74,5,5,8,8,21,21,1.000000,1.000000,62.559459,0.183154
blackout_only,186.0,120.0,900.0,75,5,5,8,8,21,21,1.000000,1.000000,62.547497,0.182916
with_repeater,186.0,120.0,900.0,75,5,5,8,8,21,21,1.000000,1.000000,62.577058,0.181071
blackout_only,186.0,120.0,900.0,76,5,5,8,8,21,21,1.000000,1.000000,62.591440,0.182688
with_repeater,186.0,120.0,900.0,76,5,5,8,8,21,21,1.000000,1.000000,62.572301,0.184972
blackout_only,186.0,120.0,900.0,77,5,5,8,8,21,21,1.000000,1.000000,62.570436,0.181380
with_repeater,186.0,120.0,900.0,77,5,5,8,8,21,21,1.000000,1.000000,62.627084,0.185088
